SchoolCode,Phase,Type,School,AddressLine1,AddressLine2,AddressLine3,PostCode,X_REF,Y_REF,Telephone,Email,Website,Headteacher,Area,AgeRangeMinimum,AgeRangeMaximum,Nearest,Non Nearest,Priority 1A,Priority 1B,Priority 2,Priority 3,Priority 4,Priority 5,EHCP / Statement,LAC,Nearest Placed,Non Nearest Placed,Placed,SEN,Siblings,Notes
2484,Primary,Community,Armley Primary School,Salisbury Terrace,,Leeds,LS12 2AY,427144,433927,0113 263 9216,cooper.jennifer@armleyprimary.org.uk,http://www.armley-pri.leeds.sch.uk,Ms C Burrill,W,3,11,0.286,0.472,1,,15,,12,2,,,,,,,,
2401,Primary,Community,Ashfield Primary School,Weston Lane,Otley,Leeds,LS21 2DF,419272,446259,0194 346 3341,info@ashfieldprimary.co.uk ,http://www.ashfieldprimary.co.uk,Ms S Parker,NW,3,11,,,,,,,,,,,,,,,,
2512,Primary,Community,Asquith Primary School,Horsfall Street,Morley,Leeds,LS27 9QY,425775,428846,0113 307 5550,hayley.walton@asquithprimary.org,http://www.asquithprimary.leeds.sch.uk/,Ms G Austerfield,S,3,11,,,,,,,,,,,,,,,,
2463,Primary,Foundation,Austhorpe Primary School,Austhorpe Lane,,Leeds,LS15 8TP,437213,433658,0113 264 0450,office@austhorpeprimary.org,http://www.austhorpe.leeds.sch.uk/,Ms C Robinson,E,4,11,0.553,0.734,1,,9,,14,6,,,,,,,,
2425,Primary,Community,Bankside Primary School,Shepherd Lane,,Leeds,LS8 5AW,431551,435482,0113 336 8383,school.office@banksideprimary.org,http://banksideprimary.org/,Ms S Rutty,NE,3,11,0.268,0.298,1,,52,,33,5,,,,,,,,
2385,Primary,Foundation,Bardsey Primary School,Woodacre Lane,Bardsey,Leeds,LS17 9DG,436392,443452,0193 757 2612,office@bardseyprimary.org.uk,http://www.bardseyprimary.org.uk/,Mrs S Clark,NE,4,11,1.216,1.413,1,,17,,11,1,,,,,,,,
3033,Primary,Community,Barwick in Elmet Church of England Primary School,Chapel Lane,Bawick-in-Elmet,Leeds,LS15 4HL,440257,437237,0113 281 2132,office@barwick-in-elmet.leeds.sch.uk,http://www.barwick-in-elmetschool.com,Mrs S A Sanderson,N,3,11,0.803,,,,12,,18,,,,,,,,,
2444,Primary,Foundation,Beechwood Primary School,Kentmere Avenue,,Leeds,LS14 6QB,435141,435924,0113 293 0250,office@beechwoodprimaryschool.co.uk,http://www.beechwoodprimaryschool.co.uk/,Mr S Hilton,E,3,11,0.498,0.512,,,20,,20,20,,,,,,,,
2407,Primary,Community,Beecroft Primary School,Eden Way,,Leeds,LS4 2TF,426699,435205,0113 214 4562,info@beecroft.leeds.sch.uk,http://www.beecroft.leeds.sch.uk/,Miss J A Turner,NW,3,11,0.804,,,,18,,27,,,,,,,,,
3913,Primary,Voluntary Aided,Beeston Hill St Luke’s Church of England Primary School,Beeston Road,,Leeds,LS11 8ND,429554,431876,0113 214 5217,hayley.chalders@bsl.leeds.sch.uk,http://www.bsl.sch.uk,Ms L Booth,S,3,11,,,,,,,,,,,,,,,,
2470,Primary,Foundation,Beeston Primary School,Town Street,,Leeds,LS11 8PN,428228,430736,0113 271 6978,office@beestonprimary.org,http://www.beestonprimaryschool.co.uk,Mr C Lees,S,3,11,0.355,0.791,1,,41,,9,39,,,,,,,,
4106,Secondary,Community,Benton Park School,Harrogate Road,Rawdon,Leeds,LS19 6LX,420896,440158,0113 250 2330,secretary@bentonpark.net,http://www.bentonpark.org.uk,Mr S Dixon & Ms D Martin,NW,11,18,,,,,,,,,,1,,,8,3,83,
2369,Primary,Community,Birchfield Primary School,Birchfield Avenue,Gildersome,Leeds,LS27 7HU,424120,428882,0113 253 3009,s.wharton@birchfieldprimary.org.uk,http://www.birchfieldprimary.org.uk,Mr P Turner,S,3,11,0.393,0.706,,,11,,7,12,,,,,,,,
3918,Primary,Community,Blackgates Primary School,Smithy Lane,Tingley,Wakefield,WF3 1QQ,428742,425957,0113 8878155,info@blackgates.org.uk,http://www.blackgates-pri.leeds.sch.uk,Mrs E Kay-Devanney,S,3,11,,,,,,,,,,,,,,,,
2408,Primary,Foundation,Blenheim Primary School,Lofthouse Place,,Leeds,LS2 9EX,429900,434622,0113 293 0808,office@blenheimprimaryschool.com,http://www.blenheimprimaryschool.com,Mrs M Duffy,NW,3,11,0.453,0.531,,,31,,7,22,,,,,,,,
4114,Secondary,Foundation,Boston Spa School,Clifford Moor Road,Boston Spa,Wetherby,LS23 6RW,442024,445068,0193 784 6636,info@bostonspa.leeds.sch.uk,http://www.bostonspa.leeds.sch.uk/,Mr C Walsh,NE,11,18,,,,,,,,,,1,,,1,,52,
2433,Primary,Community,Bracken Edge Primary School,Newton Garth,Newton Road,Leeds,LS7 4HE,431233,436133,0113 262 3335, BEPS@brackenedge.leeds.sch.uk,http://www.brackenedge.leeds.sch.uk,Ms J Harkness,NE,3,11,,,,,,,,,,,,,,,,
2329,Primary,Community,Bramham Primary School - Federated with Shadwell Primary School,Clifford Road,Bramham,Wetherby,LS23 6JQ,442710,443623,0193 784 3682,c.kitchen@bramhamprimary.org,http://www.bramhamprimary.co.uk,Ms S Pyatt,NE,4,11,,,,,,,,,,,,,,,,
2406,Primary,Community,Bramhope Primary School,Tredgold Crescent,Bramhope,Leeds,LS16 9BR,425236,442933,0113 267 1222,susan.hepworth@bramhopeprimaryschool.co.uk,http://www.bramhope.eschools.co.uk,Mrs P Lawson,NW,4,11,0.635,,1,,16,,23,,,,,,,,,
2485,Primary,Community,Bramley Primary School,Fairfield Hill,,Leeds,LS13 3DP,423633,434958,0113 214 6169,headteacher@bramley.leeds.sch.uk,http://www.bramleyprimary.co.uk,Mr D Harrison,W,3,11,0.327,0.714,,,20,,15,5,,,,,,,,
3054,Primary,Voluntary Aided,Bramley St Peter’s Church of England Primary School,Hough Lane,,Leeds,LS13 3NE,424448,434928,0113 255 9680,info@bsp.leeds.sch.uk,http://www.bsp.leeds.sch.uk,Mrs R Esplin,W,4,11,,,,,,,,,,,,,,,,
4113,Secondary,Foundation,Brigshaw High School and Language College,Brigshaw Lane,Allerton Bywater,Castleford,WF10 2HR,440903,429146,0113 287 8900,office@brigshaw.com,http://www.brigshaw.com,Ms C Lennon MA NPQH,E,11,18,,,,,,,,,,5,,,3,3,78,
2398,Primary,Community,Broadgate Primary School,North Broadgate Lane,Horsforth,Leeds,LS18 5AF,424231,438392,0113 258 2685,office@broadgateprimary.org.uk,http://www.broadgate.ik.org,Ms E McLellan,NW,3,11,,,,,,,,,,,,,,,,
3915,Primary,Voluntary Aided,Brodetsky Primary School,Henry Cohen Campus,Wentworth Avenue,Leeds,LS17 7TN,430181,439856,0113 293 0578,info@ljfs.org,http://www.brodetsky.leeds.sch.uk,Mr J Dunford,NE,3,11,,,,,,,,,,,,,,,,
2007,Primary,Academy,Brownhill Primary School,Torre Road,,Leeds,LS9 7DH,432331,434109,0113 248 9539,admin@brownhill.coop,http://www.brownhillleeds.org.uk,Mrs G Winterburn,E,3,11,,,,,,,,,,,,,,,,
2409,Primary,Foundation,Brudenell Primary School,Welton Place,,Leeds,LS6 1EW,428309,435358,0113 278 5168,info@brudenell.leeds.sch.uk,http://www.brudenellprimary.co.uk,Mrs J Davies (Acting),NW,3,11,,,,,,,,,,,,,,,,
4109,Secondary,Foundation,Bruntcliffe School,Bruntcliffe Lane,Morley,Leeds,LS27 0LZ,425212,427723,0113 252 3225,info@bruntcliffe.net,http://www.bruntcliffe.net,Mrs H Scott,S,11,18,,,,,,,,,,,,,7,,26,
3052,Primary,Community,Burley St Matthias’ Church of England Primary School,Burley Road,,Leeds,LS4 2HY,427664,434714,0113 336 7401,jmayhall@burleystmatthias.co.uk,http://www.burleystmatthias.co.uk,Ms K Cameron & Ms S Collier,NW,4,11,0.237,0.622,,,12,,4,14,,,,,,,,
3046,Primary,Voluntary Aided,Calverley Church of England Primary School,Towngate ,Calverley,Leeds,LS28 5NF,420825,437223,0113 2567929,office@calverleyce.co.uk,http://www.calverleycofeprimaryschool.co.uk/,Mrs J Putsman,W,4,11,,,,,,,,,,,,,,,,
2301,Primary,Community,Calverley Parkside Primary School,Victoria Street,Calverley,Leeds,LS28 5PQ,420612,436888,0113 257 0884,headteacher@calverleyparkside.leeds.sch.uk,http://www.calverleyparkside.leeds.sch.uk/,Mrs A Duncalf,W,3,11,0.352,,,,11,,19,,,,,,,,,
4751,Secondary,Voluntary Aided,Cardinal Heenan Catholic High School,Tongue Lane,,Leeds,LS6 4QE,429035,438145,0113 887 3240,info@cardinalheenan.com,http://www.cardinalheenan.com,Miss E A Cox,NE,11,16,,,,,,,,,,,,,,,,
2308,Primary,Community,Carlton Primary School,New Road,,Carlton ,WF3 3RE,433635,427168,0113 214 6316,enquiries@carltonprimaryschool.co.uk,http://www.carltonprimaryschool.co.uk,Mrs J Cooper,S,3,11,0.648,1.847,,,16,,9,20,,,,,,,,
4041,Secondary (Through School),Community,Carr Manor Community School (Primary),Carr Manor Road,,Leeds,LS17 5DJ,429425,437542,0113 336 8401,office@carrmanor.org.uk,http://www.carrmanor.org.uk,Mr S Flowers,NE,4,11,0.511,,1,,39,,20,,,,,,,,,
4041,Secondary (Through School),Community,Carr Manor Community School (Secondary),Carr Manor Road,,Leeds,LS17 5DJ,429425,437542,0113 336 8400,info@carrmanor.org.uk,http://www.carrmanor.org.uk,Mr S Flowers,NE,4,18,,,,,,,,,,3,,,7,1,55,
4041,Through School,Community,Carr Manor Community School,"Carr Manor Road
",, Leeds ,LS17 5DJ,4294250,4375420,0113 336 8400,info@carrmanor.org.uk,www.carrmanor.org.uk,Mr S Flowers,NE,4,18,0.63,1.615,,,17,,26,17,,,,,,,,
2437,Primary,Community,Carr Manor Primary School,Carr Manor Road,,Leeds,LS17 5DJ,429618,437771,0113 268 9160,office@carrmanorprimary.org.uk,http://www.carrmanor-pri.leeds.sch.uk,Mrs D Kenny,NE,3,11,0.349,,1,,39,,20,,,,,,,,,
2486,Primary,Community,Castleton Primary School,Green Lane,,Leeds,LS12 1JZ,428038,433009,0113 263 7756,headteacher@castletonleeds.org.uk,http://www.castleton.leeds.sch.uk,Mrs J Norfolk,W,3,11,,,,,,,,,,,,,,,,
2427,Primary,Community,Chapel Allerton Primary School,Harrogate Road,,Leeds,LS7 3PD,430560,436844,0113 262 4851,c.easton@chapelallertonprimary.co.uk,http://www.chapelallertonprimary.co.uk,Mr N Sykes,NE,3,11,,,,,,,,,,,,,,,,
3055,Primary,Community,Christ Church Upper Armley Church of England Primary School,Theaker Lane,,Leeds,LS12 3NU,426647,433747,0113 263 8606,admin@ccuaprimary.org.uk,http://www.christchurchupperarmley.ik.org/,Ms A O’Connor,W,4,11,,,,,,,,,,,,,,,,
3369,Primary,Voluntary Aided,Christ the King Catholic Primary School Bramley,Kings Approach,,Leeds,LS13 2DX,425250,434487,0113 257 9230,office@ctkcps.org.uk,http://www.christtheking.leeds.sch.uk,Mr N Ryan,W,4,11,,,,,,,,,,,,,,,,
2286,Primary,Community,Churwell Primary School,Westwood Side,Morley,Leeds,LS27 9HR,426713,429206,0113 252 7437,office@churwellprimary.org.uk,http://www.churwell.leeds.sch.uk,Mr C Summers,S,3,11,0.468,,,,29,,31,,,,,,,,,
4061,Secondary,Academy,Leeds City Academy,Bedford Field,Woodhouse Cliff,Leeds,LS6 2LG,429161,435796,0113 336 8310,info@cityofleeds.org,http://www.cityofleeds.org/,Ms G Sale,NW,11,18,,,,,,,,,,,,,17,1,12,
2482,Primary,Foundation,Clapgate Primary School,Cranmore Drive,,Leeds,LS10 4AW,431758,428488,0113 271 6700,beltm@westwoodandclapgate.org,http://www.clapgate.leeds.sch.uk,Mrs Z Adams,S,3,11,,,,,,,,,,,,,,,,
2487,Primary,Community,Cobden Primary School,Cobden Road,,Leeds,LS12 5LA,425752,431890,0113 214 3567,office@cobden.leeds.sch.uk,http://www.cobden.leeds.sch.uk,Mrs P Head,W,3,11,0.711,11.506,1,,12,,9,8,,,,,,,,
4047,Secondary,Foundation,Cockburn School,Parkside,Gipsy Lane,Leeds,LS11 5TT,429194,429451,0113 271 9962,info@cockburnschool.org,http://www.cockburnschool.org/,Mr D Gurney,S,11,16,,,,,,,,,,,,,,,,
3357,Primary,Voluntary Aided,Collingham Lady Elizabeth Hastings Church of England Primary School,Linton Road,,Leeds,LS22 5BS,438365,446015,0193 757 3117,office@collinghamschool.org,http://www.collinghamschool.com,Mrs B Robertson,NE,4,11,,,,,,,,,,,,,,,,
2453,Primary,Foundation,Colton Primary School,School Lane,,Leeds,LS15 9AL,437173,433005,0113 264 7514,colton.school@colton.org.uk,http://www.colton.leeds.sch.uk,Mrs S Harrison,E,3,11,0.377,,1,,13,,16,,,,,,,,,
3903,Primary,Voluntary Aided,Cookridge Holy Trinity C of E Primary School,Green Lane,,Leeds,LS16 7EZ,424885,440313.8,0113 225 3040,info@holytrinity.leeds.sch.uk,http://www.holytrinity.leeds.sch.uk,Mrs C Harbrow,NW,4,11,,,,,,,,,,,,,,,,
2418,Primary,Foundation,Cookridge Primary School,Tinshill Drive,,Leeds,LS16 7DH,425402,439981,0113 386 2500,info@cookridge.leeds.sch.uk,http://www.cookridgeprimaryschool.org.uk,Mrs S Bailey,NW,4,11,,,,,,,,,,,,,,,,
4065,Secondary,Academy,Co-operative Academy of Leeds,Stoney Rock Lane,,Leeds,LS9 7HD,431563,434080,0113 380 7940,info@cal.coop,http://www.cal.coop,Ms E McCarthy,E,11,18,,,,,,,,,,,,,,,,
4752,Secondary,Voluntary Aided,Corpus Christi Catholic College,Neville Road,,Leeds,LS9 0TT,434033,433556,0113 200 9010,info@corpuschristicollege.leeds.sch.uk,http://www.corpuschristicollege.leeds.sch.uk/,Mr S Mort,E,11,16,,,,,,,,,,,,,,,,
3370,Primary,Voluntary Aided,Corpus Christi Catholic Primary School,Halton Moor Avenue,,Leeds,LS9 0HA,433947,433538,0113 248 3095,j.midgley@corpusprimaryleeds.org,http://leeds.schooljotter.com/corpusleeds,Mrs W M Walsh,E,4,11,,,,,,,,,,,,,,,,
2006,Primary,Academy,Cottingley Primary School,Dulverton Grove,,Leeds,LS11 0HU,427480,430316,0113 270 9503,office@cottingleyprimaryacademy.org,http://www.cottingley.leeds.sch.uk,Mrs L A White,S,3,11,0.259,1.419,1,,19,,22,3,,,,,,,,
4107,Secondary,Academy,Crawshaw Academy,Robin Lane,Pudsey,Leeds,LS28 9HU,422722,432964,0113 336 8540,info@crawshawacademy.org.uk,http://www.crawshawacademy.org.uk,Mr Adam Daly,W,11,18,,,,,,,,,,2,,,12,,48,
2458,Primary,Foundation,Cross Gates Primary School,Poole Crescent,,Leeds,LS15 7NB,435535,434590,0113 264 5763,admin@crossgates.leeds.sch.uk,http://www.leeds.gov.uk/,Mrs R Hamer,E,3,11,0.275,0.43,1,,17,,10,2,,,,,,,,
2347,Primary,Community,Crossley Street Primary School,Crossley Street,Wetherby,Leeds,LS22 6RT,440189,448438,0193 752 0301,linda.mann@crossleystreet.leeds.sch.uk,http://www.crossleystreet.leeds.sch.uk,Mrs S Clynes,NE,3,11,,,,,,,,,,,,,,,,
6905,Secondary,Academy,David Young Community Academy (DYCA),Bishops Way,Seacroft,Leeds,LS14 6NU,434527,436067,0113 273 9100,info@dyca.org.uk,http://www.dyca.org.uk,Ms R McMullen BA(Hons) NPQH,E,11,18,,,,,,,,,,,,,,,,
2400,Primary,Foundation,Deighton Gates Primary School,Deighton Road,Wetherby,Leeds,LS22 7Xl,440193,449571,0193 758 4359,staff@deightongates.leeds.sch.uk,http://www.deightongates.leeds.sch.uk,Mrs C Harrison,NE,4,11,,,,,,,,,,,,,,,,
3921,Primary,Community,Drighlington Primary School,Moorland Road,,Drighlington,BD11 1JY,422422,428610,0113 386 2390,info@drighlingtonprimary.org.uk,http://www.drighlingtonprimary.co.uk,Ms S Jackson,S,3,11,,,,,,,,,,,,,,,,
4000,Secondary,Community,E-ACT Leeds East Academy,South Parkway,Seacroft,Leeds,LS14 6TY,435573,435612,0113 273 1964,info@leedseastacademy.org.uk,http://www.leedseastacademy.org.uk,Kenwyn Paddy (Principal) Annette Hall (Executive Principal),E,11,18,,,,,,,,,,3,,,57,,44,
2504,Primary,Community,East Ardsley Primary School,Fall Lane,East Ardsley,Wakefield,WF3 2BA,430766,425516,0113 887 9023,office@eastardsley.org.uk,http://www.eastardsley.leeds.sch.uk,Mrs J Wedlinscky,S,3,11,0.552,0.716,,,23,,25,12,,,,,,,,
2395,Primary,Academy,East Garforth Primary School,Aberford Road,Garforth,Leeds,LS25 2HF,441726,433713,0113 212 7100,info@egpa.org.uk,http://egpa.org.uk,Mr D Eaton,E,3,11,,,,,,,,,,,,,,,,
2446,Primary,Community,Ebor Gardens Primary Academy,Rigton Drive ,,Leeds,LS9 7PY,431549,433879.8,0113 248 2750,business.manager@eborgardensprimary.co.uk,http://www.eborgardensprimary.co.uk,Mrs K Depledge,E,3,11,0.529,0.633,,,32,,21,7,,,,,,,,
4026,Secondary,Academy,Farnley Academy,Chapel Lane,,Leeds,LS12 5EU,425136,431969,0113 263 0741,info@farnley.leeds.sch.uk,http://www.farnley.leeds.sch.uk,Executive Principal Mr J. A. Townsley Principal Mr J. Ziltener,W,11,18,,,,,,,,,,4,79,65,,,94,
2505,Primary,Community,Farsley Farfield Primary School,Cote Lane,Farsley,Leeds,LS28 5ED,421048,434857,0113 205 8130,office@farsleyfarfield.org.uk,http://www.farsleyfarfield.org.uk,Mr P Harris,W,3,11,0.778,1.084,1,,29,,9,19,1,,,,,,,
2338,Junior,Community,Farsley Springbank Junior School,Wesley Street,Farsley,Leeds,LS28 5LE,421900,435239,0113 255 8719,Info@farsleyspringbank.co.uk,http://www.farsleyspringbankjuniorschool.co.uk/,Miss S Percival,W,7,11,0.397,0.486,,,22,,21,17,,,,,,,,
2302,Infant,Community,Farsley Westroyd Infant School,Frances Street,Farsley,Leeds,LS28 5BH,421708,434817,0113 255 1601,ruth.hall@westroyd.leeds.sch.uk,http://www.westroydprimaryschoolandnursery.co.uk,Ms J Todd,W,4,7,,,,,,,,,,,,,,,,
2469,Primary,Community,Fieldhead Carr Primary School,Naburn Approach,,Leeds,LS14 2EG,435846,438065,0113 293 0226,fhcschool@fieldheadcarr.leeds.sch.uk,http://www.fieldheadcarr.leeds.sch.uk,Mr N Edensor,E,3,11,0.618,0.979,,,9,,14,7,,,,,,,,
2492,Primary,Community,Five Lanes Primary School,Stradbroke Way,,Leeds,LS12 4NB,427161,432757,0113 279 0122,info@fivelanesprimary.co.uk,http://www.fivelanesprimary.co.uk,Mrs J Fiddes,W,3,11,0.449,1.288,,,20,,20,20,,,,,,,,
3926,Primary,Community,Fountain Primary School,Fountain Street,Morley,Leeds,LS27 0AW,425820,426999,0113 8878235,info@fountainprimary.leeds.sch.uk,http://www.fountainprimary.leeds.sch.uk,Mr A Eastwood,S,3,11,0.645,0.64,,,25,,32,3,,,,,,,,
4112,Secondary,Academy,Garforth Academy,Lidgett Lane,Garforth,Leeds,LS25 1LJ,440183,432482,0113 212 7127,info@garforthacademy.org.uk,http://www.garforthacademy.org.uk,Mr P West,E,11,18,,,,,,,,,,,,,,,,
2336,Primary,Community,Gildersome Primary School,Town Street,Gildersome,Leeds,LS27 7AB,424463,429108,0113 201 2450,Head@gildersomeprimary.org.uk,http://www.gildersomeprimary.org.uk,Mrs C Hoyle,S,3,11,,,,,,,,,,,,,,,,
2428,Primary,Community,Gledhow Primary School,Lidgett Lane,,Leeds,LS8 1PL,431619,437508,0113 293 0392,info@gledhowschool.org,http://www.gledhow.leeds.sch.uk,Mr S Archer,NE,3,11,0.321,1.082,1,,22,,26,41,,,,,,,,
2447,Primary,Foundation,Grange Farm Primary School,Barncroft Rise,,Leeds,LS14 1AX,434807,436965,0113 293 0120,admin.manager@grangefarm.leeds.sch.uk,http://www.grangefarm.leeds.sch.uk/,Ms K Atkins,E,3,11,0.532,0.488,,,40,,19,1,,,,,,,,
3925,Primary,Foundation,Great Preston Church of England Primary School,Preston Lane,Great Preston ,Leeds,LS26 8AR,440405,429162,0113 214 6816,simpsod08@brigshawtrust.com,http://www.greatpreston-pri.leeds.sch.uk,Ms D Simpson,E,4,11,0.567,1.294,,,9,,17,4,,,,,,,,
2396,Primary,Academy,Green Lane Primary Academy,Ribblesdale Avenue,Garforth,Leeds,LS25 2JX,441808,432720,0113 212 7107,info@glpa.org.uk,http://www.glpa.org.uk,Mrs T Prince,E,3,11,,,,,,,,,,,,,,,,
2499,Primary,Community,Greenhill Primary School,Gamble Hill Drive,,Leeds,LS13 4JJ,424994,433676,0113 263 5271,info@greenhill.leeds.sch.uk,http://www.greenhill.leeds.sch.uk/,Mrs A M Reeve,W,3,11,0.427,0.423,,,30,,26,4,,,,,,,,
2473,Primary,Community,Greenmount Primary School,Lodge Lane,,Leeds,LS11 6BA,429549,431303,0113 276 0771,info@greenmountprimary.co.uk,http://www.greenmountprimary.co.uk,Ms J Wilde,S,3,11,0.265,0.342,,,30,,21,9,,,,,,,,
2303,Primary,Community,Greenside Primary School,Chapeltown,Pudsey,Leeds,LS28 8NZ,421964,432904,0113 257 4509,info@greenmountprimary.co.uk,http://www.greenside.leeds.sch.uk,Mrs C Morgan,W,4,11,0.44,0.412,2,,20,,13,10,,,,,,,,
2448,Primary,Community,Grimes Dyke Primary School,Stanks Drive,,Leeds,LS14 5BY,436557,436704,0113 294 1066,headteacher@grimesdyke.leeds.sch.uk,http://www.grimesdyke.leeds.sch.uk,Miss L Hill,E,3,11,,,,,,,,,,,,,,,,
2270,Infant,Foundation,Guiseley Primary School,Oxford Road,Guiseley,Leeds,LS20 9DA,419097,442252,0194 387 3359,office@guiseleyinfants.org.uk,http://www.guiseleyinfants.org.uk/,Mrs M G Bell,NW,3,7,0.428,3.946,1,,26,,23,10,,,,,,,,
4108,Secondary,Foundation,Guiseley School,Fieldhead Road,Guiseley,Leeds,LS20 8DT,418677,441738,0194 387 2315,info@guiseleyschool.org.uk,http://www.guiseleyschool.org.uk,Mr P Morrissey,NW,11,18,,,,,,,,,,2,,,,,104,
2449,Primary,Community,Harehills Primary School,Darfield Road,,Leeds,LS8 5DQ,432097,435211,0113 235 0539,info@harehills.leeds.sch.uk,http://www.harehills.leeds.sch.uk/,Mrs M Broughton,E,3,11,0.248,0.252,,,60,,23,7,,,,,,,,
3037,Primary,Community,Harewood Church of England Primary School,Harrogate Road,Harewood,Leeds,LS17 9LH,432200,445085,0113 288 6394,office@harewood.leeds.sch.uk,http://www.harewood-leeds.frogos.net,Mr R Madeley,NE,4,11,1.579,2.987,,,5,,1,9,,,,,,,,
3351,Primary,Community,Hawksworth Church of England Primary School (Voluntary Aided),Main Street,Guiseley,Leeds,LS20 8NX,416508,441784,0194 387 2808,admin@hawksworthceprimary.org,http://www.hawksworthceprimary.org/,Mr Norris,NW,4,11,,,,,,,,,,,,,,,,
2417,Primary,Community,Hawksworth Wood Primary School,Cragside Walk,,Leeds,LS5 3QE,425247,437304,0113 258 3984,a.padden@hwood.org.uk,http://www.hawksworthwood.leeds.sch.uk,Ms A Padden,NW,4,11,,,,,,,,,,,,,,,,
2438,Primary,Community,Highfield Primary School,Sandringham Green,,Leeds,LS17 8DJ,431232,439574,0113 293 0155,admin@highfield.leeds.sch.uk,http://www.highfield-primary.co.uk,Mrs J Colley,NE,4,11,0.389,,,,31,,28,,1,,,,,,,
2292,Primary,Community,Hill Top Primary School,Batley Road,West Ardsley,Leeds,WF3 1HD,428040,424516,0113 307 4750,office@hilltopprimary.org.uk,http://www.hilltopprimary.org.uk,Ms Hyans,S,3,11,0.724,0.882,,,8,,17,5,,,,,,,,
2014,Primary,Academy,Hillcrest Community Primary School,Cowper Street,,Leeds,LS7 4DR,431273,435505,0113 262 4080,,http://www.hillcrest.leeds.sch.uk,Jane Kent,NE,3,11,,,,,,,,,,,,,,,,
3922,Primary,Community,Hollybush Primary School,Broad Lane,,Leeds,LS13 2JJ,425330,435352,0113 386 2470,school@hollybushprimary.org,http://www.hollybushprimaryschool.org.uk/,Mr D Kenny,W,3,11,,,,,,,,,,,,,,,,
3372,Primary,Voluntary Aided,Holy Family Catholic Primary School,Parliament Road,,Leeds,LS12 2LH,427711,433408,0113 279 7572,office@holyfamilyleeds.co.uk,http://www.holyfamilyleeds.co.uk,Mr P McQuillen-Strong,W,3,11,,,,,,,,,,,,,,,,
3380,Primary,Voluntary Aided,Holy Name Catholic Primary School,Otley Old Road,,Leeds,LS16 6NF,426123,439068,0113 293 6444,holyname@holynameleeds.co.uk,http://www.holynameprimary.org.uk,Mr A Duffy,NW,4,11,,,,,,,,,,,,,,,,
